state_code_year;temperature_mean;drought_mean;precipitation_mean;climat
FL-1996;71,1;0,63;4,5;subtropical
FL-1997;72,21;0,42;4,97;subtropical
FL-1998;73,58;-0,89;4,75;subtropical
FL-1999;72,12;-2,56;4,14;subtropical
FL-2000;71,68;-3,62;3,36;subtropical
FL-2001;72,56;-3,18;4,35;subtropical
FL-2002;72,38;-0,2;4,87;subtropical
FL-2003;72,56;1,47;4,9;subtropical
FL-2004;72,09;-0,47;4,77;subtropical
FL-2005;71,82;0,42;4,96;subtropical
FL-2006;72,32;-2,91;3,42;subtropical
FL-2007;72,7;-5,31;3,64;subtropical
FL-2008;71,96;-3,22;4,43;subtropical
FL-2009;72,43;-0,87;4,48;subtropical
FL-2010;70,71;-1,02;4,01;subtropical
FL-2011;73,21;-4,13;3,9;subtropical
FL-2012;73,04;-1,51;4,59;subtropical
FL-2013;72,38;0,68;4,74;subtropical
FL-2014;72,11;0,76;4,93;subtropical
FL-2015;74,7;-1,15;4,41;subtropical
GA-1992;64,24;1,04;4,9;subtropical
GA-1993;64,4;0,16;3,82;subtropical
GA-1994;65,56;2;5,1;subtropical
GA-1995;65,04;0,42;4,14;subtropical
GA-1996;64,29;0,1;4,06;subtropical
GA-1997;64,59;0,85;4,77;subtropical
GA-1998;67,16;0,09;4,41;subtropical
GA-1999;65,82;-3,07;3,41;subtropical
GA-2000;64,91;-3,81;3,45;subtropical
GA-2001;65,82;-2,19;3,48;subtropical
GA-2002;65,84;-1,97;4,14;subtropical
GA-2003;65,23;2,28;4,77;subtropical
GA-2004;65,7;0,53;4,35;subtropical
GA-2005;65,09;1,41;4,56;subtropical
GA-2006;65,71;-2,43;3,25;subtropical
GA-2007;66,22;-4,15;3,17;subtropical
GA-2008;65,2;-2,37;3,92;subtropical
GA-2009;64,97;0,78;5,12;subtropical
GA-2010;64,88;-0,99;3,59;subtropical
GA-2011;66,72;-3,87;3,34;subtropical
GA-2012;66,91;-4,19;3,5;subtropical
GA-2013;64,38;2,46;5,29;subtropical
GA-2014;65,05;0,88;4,28;subtropical
GA-2015;67,16;0,04;4,65;subtropical
ID-1992;46,7;-3,11;1,58;steppe
ID-1993;42,89;0,17;2,01;steppe
ID-1994;45,75;-2,16;1,7;steppe
ID-1995;45,2;2,82;2,59;steppe
ID-1996;44,92;3,47;2,68;steppe
ID-1997;44,97;3,19;2,11;steppe
ID-1998;45,82;2,26;2,41;steppe
ID-1999;45,08;0,1;1,89;steppe
ID-2000;45,59;-2,18;1,74;steppe
ID-2001;46,17;-3,98;1,59;steppe
ID-2002;44,75;-2,89;1,58;steppe
ID-2003;46,64;-2,98;1,88;steppe
ID-2004;46,09;-0,68;1,93;steppe
ID-2005;45,14;0,41;2,05;steppe
ID-2006;45,66;-0,03;2,2;steppe
ID-2007;46,96;-2,57;1,63;steppe
ID-2008;44,58;-1,67;1,83;steppe
ID-2009;44,44;0,14;1,91;steppe
ID-2010;44,7;1,03;2,18;steppe
ID-2011;44,05;1,72;2,06;steppe
ID-2012;46,76;-0,36;2,14;steppe
ID-2013;45,85;-1,89;1,47;steppe
ID-2014;46,68;-2,11;2,21;steppe
ID-2015;47,98;-2,37;1,88;steppe
IL-1992;53,78;0,08;2,98;continental humide ete sec
IL-1993;52,96;3,76;4,27;continental humide ete sec
IL-1994;54,91;-0,35;2,96;continental humide ete sec
IL-1995;53,94;-0,16;3,24;continental humide ete sec
IL-1996;52,46;0,63;3,24;continental humide ete sec
IL-1997;53,65;-0,18;2,93;continental humide ete sec
IL-1998;57,35;1,4;3,71;continental humide ete sec
IL-1999;56,12;0,08;2,98;continental humide ete sec
IL-2000;54,46;-0,01;3,31;continental humide ete sec
IL-2001;55,87;0,67;3,3;continental humide ete sec
IL-2002;55,03;0,35;3,26;continental humide ete sec
IL-2003;54,35;-0,12;3,15;continental humide ete sec
IL-2004;55,12;0,79;3,33;continental humide ete sec
IL-2005;55,93;-1,89;2,62;continental humide ete sec
IL-2006;55,45;-0,32;3,39;continental humide ete sec
IL-2007;55,8;-0,54;3,06;continental humide ete sec
IL-2008;53,1;2,99;4,18;continental humide ete sec
IL-2009;54,23;4,71;4,25;continental humide ete sec
IL-2010;55,75;3,78;3,39;continental humide ete sec
