LATITUDE;LONGITUDE;STATES
328464;-97135;TX
338171;-1180386;CA
398674;-859904;IN
406498;-1118874;UT
449488;-933649;MN
384832;-1214043;CA
392093;-859183;IN
33797;-1169916;CA
386713;-1213721;CA
404957;-1118605;UT
389436;-771943;VA
375878;-775858;VA
387153;-121361;CA
42748;-844836;MI
338017;-1165382;CA
375952;-120962;CA
280771;-824335;FL
32581;-969591;TX
456833;-1110558;MT
336318;-1175988;CA
339076;-1169766;CA
339025;-1180093;CA
388774;-1212937;CA
375201;-1220307;CA
430616;-880347;WI
430921;-790147;NY
383376;-857026;IN
482375;-101278;ND
401112;-831454;OH
340903;-1178818;CA
33373;-1045294;NM
386589;-905803;MO
418065;-713565;RI
285796;-815332;FL
352669;-120669;CA
39731;-840624;OH
420825;-878214;IL
324355;-1111558;AZ
425074;-829369;MI
32517;-973344;TX
212975;-1577211;HI
38675;-121049;CA
416893;-813362;OH
329335;-972256;TX
415903;-815188;OH
388136;-976143;KS
418973;-879432;IL
415476;-726549;CT
477735;-1222044;WA
285727;-808193;FL
424064;-710545;MA
390141;-771943;MD
395915;-1050188;CO
284417;-816146;FL
304426;-889514;MS
274255;-803431;FL
299932;-978852;TX
336905;-116143;CA
324208;-1109767;AZ
196883;-1550863;HI
404899;-112017;UT
329169;-964374;TX
214031;-1579566;HI
386847;-773066;VA
419311;-71295;MA
397452;-749934;NJ
367555;-1081823;NM
26178;-801528;FL
378121;-1219698;CA
285421;-815967;FL
416207;-882253;IL
371325;-1216419;CA
413128;-818313;OH
376256;-1224313;CA
361008;-1150379;NV
328176;-972707;TX
408891;-740462;NJ
404656;-743237;NJ
262113;-802209;FL
339254;-1178655;CA
415113;-815636;OH
390277;-774714;VA
387773;-772633;VA
359632;-78514;NC
408721;-1118647;UT
286615;-813953;FL
255765;-803356;FL
41639;-937812;IA
405176;-1119636;UT
330925;-968976;TX
31563;-1103153;AZ
418741;-880157;IL
33967;-84232;GA
432305;-715595;NH
345849;-1124473;AZ
468673;-967461;MN
297914;-951144;TX
425129;-709021;MA
292985;-811014;FL
341927;-1181346;CA
406515;-73585;NY
437718;-884397;WI
329927;-800055;SC
372802;-1219539;CA
259302;-801659;FL
346618;-1204714;CA
359918;-867758;TN
441715;-939772;MN
385676;-921759;MO
329272;-968804;TX
393301;-845409;OH
383479;-1226965;CA
386409;-77258;VA
424517;-732605;MA
407637;-735245;NY
401107;-881973;IL
29565;-982535;TX
478115;-1223533;WA
406251;-742383;NJ
342116;-920173;AR
407129;-733585;NY
267244;-818485;FL
390661;-766938;MD
388324;-77196;VA
425681;-708627;MA
436241;-842319;MI
333985;-111535;AZ
402851;-830741;OH
357437;-869116;TN
339663;-118155;CA
471793;-1222902;WA
307009;-955567;TX
183599;-660096;PR
379929;-1216952;CA
400341;-861529;IN
336536;-1162785;CA
338133;-845655;GA
337554;-1183634;CA
42001;-714993;RI
392646;-767424;MD
393054;-767489;MD
329639;-969903;TX
387551;-77575;VA
447745;-934772;MN
398654;-83069;OH
421382;-727561;MA
385164;-89.99;IL
26627;-801371;FL
414821;-90492;IL
407528;-741202;NJ
41306;-731383;CT
261599;-979877;TX
410469;-836379;OH
28658;-811872;FL
387479;-774838;VA
419804;-882071;IL
351205;-1145461;AZ
412469;-75876;PA
421675;-879615;IL
425195;-924536;IA
449842;-930247;MN
380671;-979081;KS
365831;-794088;VA
408812;-730059;NY
425912;-718156;MA
390334;-845166;KY
398595;-84113;OH
401241;-82921;OH
397248;-826049;OH
388153;-908669;MO
424869;-711543;MA
363782;-864698;TN
279193;-822293;FL
333767;-847761;GA
422125;-726411;MA
399336;-913799;IL
340949;-118099;CA
373109;-895597;MO
368555;-1213986;CA
401101;-1116405;UT
340715;-1176981;CA
420209;-881779;IL
420451;-91585;IA
29511;-951981;TX
423959;-710325;MA
26774;-802779;FL
326849;-1154944;CA
